no	champ	role	lane	skill	nickname	describe
59	신지드	탱커, 전사	탑	둔화, 던지기, 치유, 속박	Singed, The Mad Chemist	신지드는 마법형 탱커 챔피언으로 많은 체력과 독 공격, 순간적으로 능력치를 상승시키는 능력을 가지고 있습니다. 상대방을 집어 뒤로 던지거나 이동을 방해하고 독 공격으로 지속적인 데미지를 누적시켜 아군을 이롭게 하는 역할을 합니다.
60	쓰레쉬	서포터, 전사	서포터	밀치기, 둔화, 보호막, 기절, 정찰	Thresh, The Chain Warden	쓰레쉬는 다양한 CC기를 보유한 서포터입니다. 적군을 당겨오는 스킬과 근접한 적군을 띄우는 스킬을 보유하고 있어 라인전에서 킬 찬스를 만들어내는데 능하며 랜턴 스킬을 활용할 경우 위험에 빠진 아군을 구출할 수 있습니다. 다수의 적에게 강력한 둔화효과를 거는 궁극기는 팀파이트에서 몹시 유용하게 활용할 수 있습니다.
61	아리	마법사, 암살자	미드	탈출, 치유, 도발	Ahri, The Nine-Tailed Fox	아리는 암살형 마법 딜러로 빠른 기동성과 긴 사정거리를 이용하여 적을 공격하는 챔피언입니다. 또한 고정 데미지와 적을 매혹하는 스킬도 가지고 있어서 다양한 방면에서 활약할 수 있습니다.
62	아무무	탱커, 마법사	정글	기절, 속박	Amumu, The Sad Mummy	아무무는 탱커로 상대 챔피언을 잡아둘 수 있는 기술들을 가지고 있습니다.아무무는 정글링에 적합한 챔피언으로 붕대 던지기를 이용해 다른 라인을 급습할 수 있습니다.아무무는 광역 공격 기술을 가지고 있는 영웅들과 좋은 상성을 보입니다.
63	아우렐리온 솔	마법사	미드	밀치기, 둔화, 기절	Aurelion Sol, The Star Forger	아우렐리온 솔 몸 주변에 있는 3개의 위성은 '혜성 전설' 스킬을 사용 중일 때를 제외하고 계속 공전하며, 적을 타격한 후에도 사라지지 않습니다. '은하 해일'은 '혜성 전설' 스킬과 함께 사용하면 크기를 몇 배 이상으로 키울 수 있습니다. 일직선으로 움직이면 혜성 가속도가 붙어 빠르게 이동할 수 있습니다.
64	아이번	서포터, 마법사	정글	띄우기, 보호막, 둔화, 속박	Ivern, The Green Father	아이번은 패시브를 이용해 독특한 정글 전략 활용이 가능한 챔피언입니다. 덩굴뿌리와 보호의 씨앗을 활용한 군중제어기에 궁극기 데이지!의 활용과 띄우기까지 전체적으로 정글러로서 강력한 면모를 보일 수 있습니다.
65	아지르	마법사, 원거리	미드	둔화, 밀치기	Azir, the Emperor of the Sands	아지르는 전장에 소환된 슈리마 모래 병사를 지휘하여 적을 상대하는 것이 특징입니다. 이전 소환수들과 달리 슈리마 모래 병사는 아지르의 스킬을 통해 제어할 수 있으며, 이들을 이용하여 공격이나 적의 공격을 회피하는 것이 중요합니다. 아지르는 소환수 의존도가 상당하므로 전략적인 플레이가 필요한 챔피언입니다.
66	아칼리	암살자	탑, 미드	둔화, 은신	Akali, The Fist of Shadow	아칼리는 은신 능력을 가진 암살 챔피언으로 적들 사이를 종횡 무진 누빌수 있는 챔피언입니다.아칼리의 스킬들은 대부분 거리를 벌리거나 좁히는데 특화 되어있고, 이를 활용하여 추가 대미지를 가하는 것이 중요합니다.스킬을 활용하면 특정 지역에 지속적으로 은신할 수 있으며, 어그로 핑퐁으로 전투 승리에 기여할 수 있습니다.
67	아트록스	전사, 탱커	탑, 미드, 정글	띄우기, 탈출, 치휴, 둔화	Aatrox, the Darkin Blade	아트록스는 돌격형 전사로 적 챔피언의 이동을 제약하는 다수의 CC기를 가지고 있습니다. 또한, 적진 한가운데에서 죽음을 맞이해도, 궁극기를 통해 부활하고 다시 전투에 돌입할 수 있는 끈질긴 유지력을 가지고 있는 챔피언입니다.
68	아펠리오스	원거리	봇	치유, 보호막, 둔화, 속박	Aphelios, the Weapon of the Faithful	아펠리오스는 다섯 종류의 무기를 사용하는 원거리 공격수입니다. 각 무기는 주 무기, 보조 무기로 사용할 수 있으며 탄환을 모두 사용하면 새로운 무기를 얻습니다. 각각의 무기의 스킬, 보조 효과를 완벽히 숙지하는 것이 중요한 챔피언입니다.
69	알리스타	전사, 서포터	서포터	띄우기, 치유, 밀치기	Alistar, The Minotaur	알리스타는 강력한 탱커로 아군을 보호하고 적군을 흩어놓는 역할을 합니다.알리스타는 광역 기절 스킬과 밀쳐내기로 한순간 상대방을 무력화 할 수 있습니다.체력 회복 기술을 가지고 있기 때문에 서포터적인 성격도 가지고 있습니다.아이템 파밍이 힘들긴 하지만 높은 체력 성장치와 궁극기로 아이템 의존도가 낮은 챔피언입니다.
70	애니	마법사	미드, 서포터	기절, 보호막	Annie, The Dark Child	애니는 AP누커로 가장 쉽게 마법사 챔피언의 특징을 배울 수 있는 캐릭터입니다.직관적인 공격 스킬을 가지고 있고, 한번에 엄청난 화력을 쏟아낼 수 있습니다.패시브 스킬을 잘 활용하면 결정적인 순간에 기절 효과를 부가할 수 있습니다. 팀 파이트 시 강력한 광역 화력으로 기여합니다.
71	애니비아	마법사	미드	둔화, 기절	Anivia, The Cryophoenix	애니비아는 AP누커로 광역 데미지와 기절, 감속 콤보를 가진 챔피언입니다.애니비아는 패시브 기술로 일정 주기마다 한 번씩 부활할 수 있습니다.벽을 만들어내어 상대 영웅들의 합류를 차단할 수 있습니다.강력한 기술들을 가지고 있지만 마나 소모가 극심한 편입니다.
72	애쉬	원거리, 서포터	봇, 서포터	정찰, 둔화, 기절	Ashe, The Frost Archer	애쉬는 원거리 공격 챔피언으로 기본적인 능력을 가지고 있습니다.생존기가 없는대신 정찰능력과 감속 효과 기술을 가지고 있습니다.궁극 기술은 엄청난 사정거리를 가지고 있지만 잘 적중시키려면 상당한 숙련도가 필요합니다.궁극이 적중하면 굉장히 긴 기절 효과가 있기 때문에 팀에 큰 기여를 하게 됩니다.
73	야스오	전사, 암살자	미드, 탑, 봇	보호막, 띄우기, 제압	Yasuo, the Unforgiven	야스오는 바람의 검술을 사용하고, 뛰어난 기동력을 가진 근접 딜러입니다. 스킬 소모 값이 없고 재사용 대기시간이 짧아 전투 시간이 길어질수록 강해지는 챔피언입니다. 또한, 스킬을 콤보 형식으로 사용할 수 있어 한타 전투에서 궁극 스킬을 일찍 써주면 매우 유용합니다.
74	에코	암살자, 마법사	정글, 미드	치유, 둔화, 기절, 보호막, 탈출	Ekko, the Boy Who Shattered Time	에코는 유틸리티적인 측면이 뛰어난 마법사입니다. 근접 공격을 하는 마법사지만, 패시브와 E스킬을 통해 빠른 이동 속도를 확보할 수 있습니다. 또한, 광범위한 군중제어기를 보유하고 있어 팀 파이트에서도 중요한 역할을 할 수 있는 챔피언입니다. 순간 폭딜에도 능해, 암살자 역할도 잘 수행합니다.
75	엘리스	마법사, 전사	정글	기절, 치유	Elise, The Spider Queen	엘리스는 인간 형태와 거미 형태로 변신하여 다양한 스킬들을 사용할 수 있는 챔피언입니다. 그녀는 신경 독과 독이빨이라는 체력 비례 데미지형 스킬을 보유하고 있어 견제 플레이에 능합니다. 또한 줄타기라는 스킬을 이용하면 추격과 도주에도 강한 모습을 보일 수 있습니다.
76	오공	전사, 탱커	정글, 미드	띄우기, 은식	Wukong, The Monkey King	오공은 다양한 기능을 가진 근접 공격 챔피언입니다. 근두운을 이용한 빠른 급습과 파쇄격으로 상대 영웅에게 막대한 데미지를 줄 수 있으며 분신술로 위기의 상황을 벗어나는 능력을 가지고 있습니다. 궁극기를 사용하면 적의 진형을 붕괴시킬 수 있습니다.
77	오른	전사, 탱커	탑, 미드, 서포터	띄우기, 밀치기, 보호막	Ornn, the Fire Below the Mountain	오른은 패시브를 활용해 아이템을 제작할 수 있는 챔피언입니다. 라인전을 지속할수도 있고, 게임 종반 아군을 더욱 강하게 만들어줄 수 있습니다. 뿐만 아니라 강력한 CC를 보유해 이니시에이팅이나 적을 지속적으로 방해하는데 뛰어난 챔피언입니다.
78	오리아나	마법사, 서포터	미드	띄우기, 둔화, 보호막, 정찰	Orianna, The Lady of Clockwork	오리아나는 AP 누커로 한순간에 다수의 적군에게 강력한 데미지를 주는 역활을 하게 됩니다. 기술 모두가 논 타겟형 기술로 맞추기는 어렵지만 사용하는 방법에 따라 엄청난 데미지를 줄 수도 있습니다.
79	올라프	전사, 탱커	탑, 정글	치유, 둔화	Olaf, The Berserker	올라프는 적군의 진형을 붕괴시키는 전진형 챔피언으로 방어를 무시하는 고정대미지와 체력을 잃을수록 공속이 빨라지는 패시브를 이용하여 적을 분쇄하는 역활을 합니다. 궁극기를 사용하면 모든 통제 기술에 면역이 되기 때문에 상대방의 방해를 뚫고 딜러에게 접근할 수 있습니다.
80	요릭	전사, 탱커	탑	밀치기, 둔화, 치유	Yorick, Shepherd of the lost souls	요릭은 주변에서 적이 죽을 때 생성되는 무덤에서 안개 망령을 일으켜 라인을 빠르게 밀 수 있습니다. 최후의 의식으로 체력을 회복할 수 있고, 망자의 진은 적을 고립시킬 수 있습니다. 적에게 애도의 안개를 맞춘 뒤 빠르게 이동할 수 있고, 궁극기로 안개 마녀를 소환하여 전투를 하거나 전략적으로 사용할 수 있습니다.
81	우디르	전사, 탱커	정글	보호막, 치유, 기절	Udyr, The Animal Spirit	우디르는 4종류의 형태로 변신하는 근접 챔피언입니다. 각 태세마다 고유의 특징이 있어 호랑이는 물리 공격, 거북이는 방어, 곰은 습격, 불사조는 마법 공격의 특징을 가지고 있습니다. 플레이 스타일에 따라 주력으로 쓰는 태세가 달라집니다.
82	우르곳	원거리, 전사	탑	보호막, 둔화, 기절, 공포	Urgot, The Dreadnought	우르곳은 기본 지속 효과인 '화염의 메아리'를 통해 적에게 큰 피해를 입힐 수 있는 챔피언입니다. 6개의 다리에서 뿜어져 나오는 화력은 적을 제압하기에 충분한 화력인데요. 적절한 스킬 활용과 위치 선정이 우르곳의 딜링, 생존에 가장 큰 영향을 미칩니다.
83	워윅	전사, 탱커	정글	치유, 정찰, 제압, 공포	Warwick, The Blood Hunter	워윅은 흡혈 능력으로 가장 안정적인 정글링을 할 수 있는 챔피언으로 빠른 정글 속도와 습격이 가능한 장점이 있습니다. 빠른 공격 속도와 흡혈이 특징인 챔피언으로 주로 전투에서 선봉에 서서 적 진영을 파괴하는 역할을 하게 됩니다. 궁극기를 사용하면 적군 한 명을 제압할 수 있습니다.
84	유미	마법사	서포터	보호막, 둔화, 속박, 치유	Yummi, the Magical Cat	유미는 아군을 보조하는 데 특화된 서포터 챔피언입니다. '밀착' 상태에선 아군의 능력치를 올려주고, 포탑 이외의 대상에겐 공격을 받지 않는다는 특징을 가지고 있습니다다. '밀착'을 이용한 다채로운 플레이가 가능한 유틸형 서포터로, 강력한 견제와 아군 보조를 수행해냅니다.
85	이렐리아	전사, 암살자	탑, 미드, 봇	치유, 둔화, 기절	Irelia, The Will of the Blades	이렐리아는 브루저 챔피언 중 하나로, 돌진 능력이 뛰어난 챔피언입니다. 표식을 이용해 Q 스킬을 초기화 하고, 체력도 조금 회복할 수 있습니다. 광역 스턴과 지역 장악 궁극기를 잘 활용하는 것이 중요합니다.
86	이블린	암살자, 마법사	정글	둔화, 은신, 보호막	Evelynn, The Widowmaker	이블린은 암살자 챔피언으로 뛰어난 은신능력이 있습니다. 긴 은신 기술로 라인과 정글 지역을 돌아 다니면서 아군과 함께 상대방을 암습하는 것이 역할입니다. 자신이 맞는 동안에는 은신이 걸리지 않으니 조심해야합니다. 궁극기를 배운 이후에는 타워 다이브도 가능한 챔피언입니다.
87	이즈리얼	원거리, 마법사	미드, 봇	탈출	Ezreal, The Prodigal Explorer	이즈리얼은 강력한 원거리 챔피언으로 장거리 견제와 저격, 상대에게 순간 접근 / 도주가 가능한 이동 기술도 가지고 있습니다. 이즈리얼은 기술들들 적중시킬 때마다 공격 속도가 증가하며 신비한 화살은 재사용 시간을 단축하는 효과도 가지고 있습니다. 아이템에 따라 다양한 방향의 육성이 가능합니다.
88	일라오이	전사, 탱커	탑	둔화	Illaoi, the Kraken Priestess	일라오이는 촉수를 사용하는 전사형 챔피언입니다. 챔피언 자체가 가진 대미지는 그렇게 높지 않지만, 벽에서 소환되는 촉수를 활용하여 다양한 공격을 펼칠 수 있습니다. 촉수는 대미지외에도, 공격시 일라오이의 체력까지 회복시켜주기에 유용하게 사용됩니다. 촉수를 잘 관리하는 것이 플레이의 핵심입니다.
89	자르반 4세	탱커, 전사	정글	띄우기, 정찰, 보호막, 둔화, 탈출	Jarvan IV, The Exemplar of Demacia	자르반4세는 적군 진형을 파괴하는 딜탱형 챔피언으로 적당한 공격능력과 방어능력을 동시에 갖추고 있습니다. 깃발과 궁극기를 사용하면 적군 진영 가장 뒤쪽에 있는 딜러들을 고립시켜 아군을 유리하게 만드는 역할을 합니다. 자르반4세는 정글 플레이도 가능한 챔피언입니다.
90	자야	원거리	봇	속박	Xayah, The Rebel	자야는 일단 계획을 세우고 난 후에 싸워야 가장 빛을 발하는 챔피언입니다. 똑똑한 자야 플레이어는 미니언 무리를 지용해 지뢰를 설치하듯 깃털을 깔아놓고 적이 사거리 안으로 들어오도록 유도하죠. 전투가 시작되면 자야는 민첩한 움직임으로 우아하게 전장을 누비며 깃털로 주변 지역을 장악할 겁니다.
91	자이라	마법사, 서포터	미드, 서포터	정찰, 둔화, 속박, 띄우기 Zyra, Rise of the Thorns	자이라는 마법사형 챔피언으로 강력한 마법 공격 능력과 함께 씨앗을 이용하여 공격하는 꽃을 소환하는 특징을 가지고 있습니다. 자이라의 스킬들은 모두 강력한 대미지를 줄 수 있으며 궁극기는 넓은 범위에 모든 적을 띄우고, 식물을 급성장시킬 수 있는 능력을 가지고 있습니다.
92	자크	탱커, 전사	정글, 서포터	띄우기, 탈출, 둔화, 치유	Zac, the Secret Weapon	자크는 정글, 탑에서 자주 운영되는 챔피언으로 자신의 체력을 소비하여 스킬을 사용합니다. 자크는 먼 거리를 도약할 수 있는 새총발사 스킬 덕분에 갱킹과 도주에 매우 강한 모습을 보입니다. 또한, 적 진영을 붕괴시킬 수 있는 궁극기 덕분에 훌륭한 이니시에이터로도 활용할 수 있습니다.
93	잔나	서포터, 마법사	서포터	띄우기, 치유, 밀치기, 보호막, 둔화	Janna, The Storm's Fury	잔나는 다양한 보조 기술들을 가진 서포터 챔피언으로 아군을 보호하면서 적군을 방해하는 역활을 합니다. 궁극기인 계절풍은 근처의 모든 적을 밀쳐내기 때문에 광역 공격을 하는 적군을 무력화할 수 있습니다. 잔나는 기본적으로 빠른 이동 속도를 가지고 있습니다.
94	잭스	전사, 암살자	탑, 정글	탈출, 기절	Jax, The Grandmaster at Arms	잭스는 물리 / 마법 공격을 모두 사용하는 근접 챔피언으로 높은 회피 능력과 강력한 기본 공격 능력을 가지고 있습니다. 상대방을 공격하면 공격 할수록 점점 강해지는 특성 때문에 장기간 전투에서 엄청나게 강력한 모습을 보입니다. 점프와 회피로 위기의 상황을 벗어날 수 있습니다.
95	제드	암살자, 전사	탑, 미드	탈출, 둔화	Zed, the Master of Shadows	제드는 기력을 사용하는 챔피언으로 분신을 사용해 지형지물을 뛰어넘을 수 있으며 적의 중요 챔피언을 노리는데 특화된 기술들을 가지고 있습니다. 견제기와 생존기를 동시에 갖추었기에 분신 기술을 능숙하게 사용할 수 있다면 미드와 탑, 정글라인에서 활약할 수 있습니다.
96	제라스	마법사, 암살자	미드, 서포터	둔화, 기절	Xerath, The Magus Ascendant	제라스는 마법 공격을 하는 챔피언으로 모든 스킬의 사정거리가 상당한 편입니다. 이 압도적인 사정거리를 이용해 적을 제압하고 암살하는 능력이 뛰어난 챔피언입니다. 그러나 모든 스킬이 논 타겟팅 스킬이고 각 스킬마다 마나 소모량이 상당하므로 세심한 컨트롤을 요구합니다.
97	제이스	전사, 원거리	탐, 미드	밀치기, 둔화	Jayce, The Defender of Tomorrow	제이스는 처음부터 다양한 스킬을 가지고 있는 챔피언으로 스킬을 이용해 원거리 / 근거리 공격 모드로 전환이 가능한 챔피언입니다. 제이스는 모드에 따라 다른 기술들을 사용하며 이에 따라 다양한 역할을 수행할 수 있습니다.
98	조이	마법사, 서포터	미드	기절, 둔화	Zoe, the Aspect of Twilight	조이는 아이템 사용효과나 소환사 주문을 훔쳐 사용할 수 있는 독특한 챔피언입니다. 궁극기는 짧은 쿨타임의 일시적인 위치 전환이 가능합니다. 이외에도 기본 스킬들이 독특한 효과를 가지고 있기 때문에 이를 잘 활용할 필요가 있습니다. 스킬 조작 난이도가 높고, 지형 활용 또한 중요합니다.
99	직스	마법사	미드, 봇	밀치기, 둔화	Ziggs, The Hexplosives Expert	직스는 긴 사거리가 장점인 AP 챔피언으로 대상 지정 스킬이 단 하나도 없어 익숙하지 않으면 다소 어려운 챔프입니다. 한 방의 강한 화력을 주는 것보다는 꾸준한 화력지원이 가능한 후방 지원형 성향을 띕니다. 스킬의 유틸리티적인 부분이 뛰어나 활용성이 높지만 그만큼 다루기 어렵다는 단점도 있습니다. 마나 관리는 필수!
100	진	원거리, 암살자	봇	둔화, 속박	Jhin, the Virtuoso	진은 조금은 특이한 스킬 구성을 갖춘 챔피언입니다. 진은 공격 속도 증가 아이템을 갖춰도 공격 속도가 늘어나지 않으며, 총을 네 번 쏘면 장전 시간을 가져야 합니다. 하지만 추가 공격 속도를 모두 공격력 증가로 치환하여, 엄청난 화력을 펼칠 수 있습니다. 스킬 사거리도 굉장히 길기에, 저격수로도 활약할 수 있습니다.
101	질리언	서포터, 마법사	미드, 서포터	둔화, 기절	Zilean, The Chronokeeper	질리언은 시간을 다루는 마법사로 상황에 따라 공격적인 서포터로도 활용되는 챔피언입니다. 시간 폭탄을 이용하여 적을 견제하고 기술 쿨타임을 되감기로 재사용 시간을 빠르게 만들 수 있습니다. 궁극기를 사용하면 아군 챔피언을 살릴 수 있습니다.
102	징크스	원거리	봇	둔화, 속박	Jinx, the Loose Cannon	징크스는 상황에 맞춰 여러 가지 독특한 무기를 사용할 수 있는 원거리 챔피언입니다. 스킬을 사용하여 기관단총이나 로켓런처 중 하나를 선택해 사용할 수 있으며, 전기 충격파를 발사해 적을 둔화시키거나 적의 발을 묶을 수 있는 덫 수류탄을 사용합니다. 초강력 초토화 로켓은 맵 전체를 가로지를 수 있다는 것이 특징입니다.
103	초가스	탱커, 마법사	탑, 미드	띄우기, 침묵, 둔화	Cho'Gath, The Terror of the Void	다양한 육성이 가능하지만 주로 공격형 탱커로 육성하며 패시브인 육식을 활용한 라인 유지에도 탁월한 면모를 보입니다. 궁극기인 포식때문에 별다른 아이템을 사지 않아도 체력이 높고 상대방을 띄우거나 침묵시키는 등 상대방의 행동을 제한합니다.
104	카르마	마법사, 서포터	탑, 미드, 서포터	Karma, The Enlightened One	카르마는 만트라 스킬을 활용하여 기존 스킬들을 보다 강하게 사용할 수 있습니다. 카르마는 내면의 열정 스킬을 이용해 라인에서 적을 견제할 수 있고 굳은 결의 스킬을 통해 적절히 적에게 CC기를 사용할 수 있습니다. 또한, 고무 스킬로 아군에게 방어막을 동반한 버프를 걸 수 있기 때문에 다방면으로 활약할 수 있는 서포터입니다.
105	카밀	전사, 암살자	탑, 정글	밀치기, 보호막, 둔화, 기절	Camille, The Steel Shadow	카밀은 강력한 대미지와 뛰어난 기동력을 통해 스타일리쉬한 전투가 가능한 챔피언입니다. 갈고리 발사와 돌진을 이용해 적에게 순식간에 접근하여 CC기를 넣으며 적을 제압할 수 있습니다. 또한, 정확성 프로토콜로 리듬감 있는 공격이 가능한데요. 카밀은 갈고리 발사와 궁극기를 활용해 적극적으로 적에게 붙는 브루저형 챔피언입니다.
106	카사딘	암살자, 마법사	탑, 미드	보호막, 둔화, 침묵	Kassadin, The Void Walker	카사딘은 상대 마법사를 사냥하는 마법사 입니다. 궁극기인 균열 이동은 모든 장애물을 넘어다닐 수 있으며 짧은 쿨타임을 가지고 있기 때문에 자주 사용할 수 있습니다. 마나 소모가 극심하기 때문에 적절한 마나관리가 필요합니다. 미니언 파밍 보다는 습격에 유리한 챔피언입니다.
107	카서스	마법사	미드, 정글	둔화	Karthus, The Deathsinger	카서스는 적 전체에게 강력한 피해를 입힐 수 있는 마법사로 챔피언이 사망해도 팀에 기여할 수 있는 특이한 챔피언입니다. 패시브 능력으로 사망해도 몇 초간은 기술을 사용할 수 있습니다. 카서스의 궁극은 적군 전체에게 데미지를 주는 기술이기 때문에 아군과 합의하여 사용하면 어디에서도 적을 처치할 수 있습니다.
108	카시오페아	마법사	미드, 봇	둔화, 기절, 정찰	Cassiopeia, The Serpent's Embrace	카시오페아는 독과 석화를 사용하는 AP 챔피언입니다. 짧은 쿨타임의 공격 스킬과 독 스킬을 구사하여 적을 제압하는 카시오페아는 순식간에 대미지를 누적시킬 수 있는 중거리 공격수이죠. 이외에도 이동 불가라는 독특한 CC와 광역 기절 까지 보유한 카시오페아는 팀 공격의 핵입니다.
109	카이사	원거리	봇	보호막, 은신	Kai’Sa, Daughter of the Void	카이사는 원거리 딜러이면서 암살자에 가까운 역할을 수행하기도 합니다. 긴 사거리를 가진 공허 추적자와 먼 거리를 이동할 수 있는 사냥본능을 이용하면, 뒤에 꽁꽁 숨어 있는 적 팀 딜러를 순식간에 제압할 수 있습니다. 하지만 적진에 깊게 들어가는 만큼, 적을 제압하고 무사히 빠져나올 방법도 생각해야할 것입니다.
110	카직스	암살자, 전사	미드, 정글	은신, 탈출, 치유, 둔화	Khazix, the Voidreaver	카직스는 강력한 AD누커로 먼 거리를 도약, 목표를 순간 삭제하는데 능한 챔피언입니다. 궁극기를 이용해 스킬을 진화하면 은신 횟수가 늘어나거나, 킬 어시스트로 점프를 초기화하는 등 스킬을 특화할 수 있습니다. 공격력과 포킹, 점프, 은신 등 상황에 맞는 선택이 중요합니다.
111	카타리나	암살자, 마법사	미드	탈출	Katarina, The sinister	카타리나는 스킬을 사용하면 떨어지는 단검을 대상으로 순보를 계속해서 사용하며 상대를 농락할 수 있는 챔피언입니다. 이동과 공격이 합쳐져 테크니컬한 전투를 펼치는 카타리나는 숙련되면 숙련될수록 강력해집니다. 특히 적 챔피언이 사망하면 스킬 쿨타임이 줄어들어 더욱더 폭발적인 위력을 발휘합니다.
112	칼리스타	원거리	봇, 탑	둔화, 밀치기, 띄우기, 정찰, 탈출	Kalista, the Spear of Vengeance	칼리스타는 지금까지의 챔피언과는 완벽하게 다른 메커니즘을 보유하고 있습니다. 사거리가 짧고 안정적인 탈출 스킬이 부재하지만, 끊임없는 카이팅이 가능하도록 하는 패시브 스킬을 지니고 있습니다. ‘칠흑의 창’이라는 고유 아이템을 통해 아군과 영혼을 결속시켜, 새로운 형태의 전투를 설계할 수도 있습니다.
113	케넨	마법사, 원거리	탑, 미드, 봇	기절	Kennen, The Heart of the Tempest	케넨은 강력한 AP 누커로 다수의 상대를 기절시키고 동시에 광역 데미지를 주는 역할을 하게 됩니다. 빠른 기동력과 긴 사정거리로 적을 견제할 수 있습니다. 케넨은 기력형 챔피언으로 마나를 소모하지 않습니다. 기술을 3번 적중시키면 상대를 기절시킬 수 있습니다.
114	케이틀린	원거리	봇	탈출, 둔화, 속박	Caitlyn, The Sheriff of Piltover	케이틀린은 가장 긴 기본 공격 사거리를 자랑하는 챔피언입니다. 긴 사거리로 초반에 적을 압박하여 우위를 얻어낼 수 있으며, 요들 덫과 투망 등 생존에 도움되는 스킬도 가지고 있습니다. 패시브 활용을 위해 수풀 근처에서 전투를 지속하는 것이 좋습니다.
115	케인	전사, 암살자	정글	띄우기, 둔화, 은신	Kayn, the Shadow Reaper	케인은 게임의 방향에 따라 조금 더 유리한 선택을 할 수 있는 챔피언입니다. 적 딜러의 활약을 잠재워야할 경우, 케인은 그림자 암살자로 변신해 암살 능력을 높일 수 있습니다. 반대로, 적 탱커와 힘싸움이 필요할 경우에는 다르킨으로 변신해 유지력을 높일 수 있습니다
116	케일	전사	탑	치유, 둔화	Kayle, The Righteous	케일은 하이브리드 캐릭터로 공격 능력과 아군을 보조하는 서포트 능력을 모두 가지고 있습니다. 무적 효과를 부여하는 궁극기는 아군에게 쏟아지는 집중공격을 무효화하고 체력을 보존시켜 상황을 유리하게 만드는 역활을 합니다. 특정 레벨 구간마다 패시브 효과가 강화되어 16레벨에는 아주 강력한 챔피언으로 거듭납니다.
117	코그모	원거리, 마법사	미드, 봇	정찰, 둔화	Kog'Maw, The Mouth of the Abyss	코그모는 상대 체력을 %로 깎는 원거리 챔피언이며, W스킬 '생체마법 폭격'으로 공격 속도를 극대화하여 적 탱커를 단숨에 분쇄해버릴 수 있는 능력이 있습니다. 또한 궁극기인 살아있는 곡사포는 코그모를 엄청난 사정거리를 가진 곡사포로 만들어 줍니다.
118	코르키	원거리	미드, 봇	탈출, 정찰, 밀치기, 둔화	Corki, The Daring Bombardier	코르키는 미사일을 사용하는 원거리 챔피언입니다. 폭탄 꾸러미를 장착했을 경우, 발키리의 능력이 극대화되어 먼 거리에서 순식간에 적진을 파고들 수 있습니다. 궁극기인 미사일을 이용하여 적을 견제하다 발키리와 게틀링으로 적에게 순간 데미지를 넣을 수 있습니다.
119	퀸	원거리, 전사	탑, 봇	실명, 정찰, 둔화	Quinn, Demacia's Wings	퀸은 기능적인 면에 특화된 원거리 포지션의 챔피언입니다. 실명공격 스킬을 이용하면 적을 일부문 무력화 시킬 수 있고 예리한 감각 스킬을 통해 적의 위치를 파악할 수 있습니다. 궁극기를 이용할 경우 재빠르게 이동할 수 있어, 전 맵을 종횡무진 헤집고 다닐 수 있습니다.
120	클레드	전사, 탱커	탑	띄우기, 밀치기, 둔화, 보호막, 탈출	Kled, The Cantankerous Cavalier	클레드는 스칼에 타고 있다가, 스칼의 체력이 떨어지면 클레드 혼자 전투하는 콘셉트의 전사형 챔피언입니다. '덫날리기'로 적을 끌어당기거나 '이랴!'로 접근한 뒤, '버럭버럭'을 통해 빠르게 4타를 넣어 막대한 피해를 입힐 수 있습니다. '돌겨어어억!!!'은 먼 거리에 있는 적에게 빠르게 접근하며, 뒤따르는 아군의 이동속도도 높여줍니다.
121	키아나	암살자	미드, 정글	밀치기, 둔화, 속박, 은신, 기절	Qiyana, Empress of the Elements	키아나는 주변 지형을 잘 활용해야 하는 물리 암살자 챔피언입니다. W 스킬은 벽, 물, 수풀에서 원소를 흡수할 수 있고, 흡수한 원소에 따라 Q 스킬에 속박, 추가 대미지, 은신 등의 효과를 얻을 수 있습니다. 궁극기 또한 사용된 지역의 지형에 따라 추가 효과가 부여되기 되므로 이런 점에 익숙해질 필요가 있습니다.
122	킨드레드	원거리	정글	치유, 둔화, 탈출	Kindred, The Eternal Hunters	킨드레드는 상당한 캐리력을 갖춘 원거리 정글러입니다. 패시브 스킬을 통해 자신의 공격력을 향상시킬 수 있고, 다수의 적을 동시에 공격할 수도 있습니다. 궁극기인 '양의 안식처'는 해당 지역의 모든 챔피언을 죽지 않는 상태로 만듭니다. 이 스킬은 피아 구분 없이 모든 챔피언에게 해당되기에, 사용에 주의가 필요합니다.
123	타릭	서포터, 전사	서포터	치유, 기절	Taric, The Shield of Valoran	타릭은 서포터형 탱커 챔피언으로 아군을 치료하고 적을 기절시키며 팀 파이트에 강한 영향력을 미칠 수 있는 챔피언입니다. 수호의 고리 스킬을 이용하면 타릭이 시전하는 모든 스킬이 수호의 고리에 연결된 아군으로부터 똑같이 시전되어 스킬의 활용이 누구보다도 중요한 챔피언입니다.
124	탈론	암살자, 전사	미드	둔화, 은신	Talon, The Blade's Shadow	탈론은 상대방 챔피언에게 순간적으로 접근하여 강력한 데미지를 주는 암살형 챔피언 입니다. 특히 방어 능력이 부실한 챔피언들을 상대로 압도적인 능력을 보여줍니다. 벽을 뛰어넘는 독특한 이동스킬과 은신 효과를 동반한 궁극기를 활용해 적의 주요 챔피언들을 암살하고 빠져나올 수 있습니다.
